epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755024888,2022-11-06T19.17.04.888,4.549,-5.183,12.713,7.195
1667755024929,2022-11-06T19.17.04.929,4.590,-6.067,2.104,5.518
1667755024969,2022-11-06T19.17.04.969,4.630,1.220,1.372,2.652
1667755025010,2022-11-06T19.17.05.010,4.671,2.012,5.305,0.335
1667755025051,2022-11-06T19.17.05.051,4.712,-0.305,1.128,0.823
1667755025092,2022-11-06T19.17.05.092,4.753,-0.915,0.366,-0.091
1667755025132,2022-11-06T19.17.05.132,4.793,-0.488,-1.128,-1.372
1667755025173,2022-11-06T19.17.05.173,4.834,4.024,-0.366,-5.305
1667755025214,2022-11-06T19.17.05.214,4.875,44.970,51.128,-29.573
1667755025253,2022-11-06T19.17.05.253,4.914,60.427,85.945,-37.378
1667755025294,2022-11-06T19.17.05.294,4.955,60.213,79.848,-43.445
1667755025335,2022-11-06T19.17.05.335,4.996,85.549,125.823,-95.305
1667755025376,2022-11-06T19.17.05.376,5.037,52.683,109.512,-120.366
1667755025416,2022-11-06T19.17.05.416,5.077,35.793,35.915,-106.616
1667755025457,2022-11-06T19.17.05.457,5.118,37.195,-33.689,-48.293
1667755025498,2022-11-06T19.17.05.498,5.159,31.646,-52.530,-18.780
1667755025539,2022-11-06T19.17.05.539,5.200,1.555,-69.878,13.476
1667755025578,2022-11-06T19.17.05.578,5.239,11.250,-106.463,31.768
1667755025619,2022-11-06T19.17.05.619,5.280,4.268,-74.939,11.159
1667755025660,2022-11-06T19.17.05.660,5.321,-16.250,-87.500,31.951
1667755025701,2022-11-06T19.17.05.701,5.362,-3.445,-102.622,38.933
1667755025741,2022-11-06T19.17.05.741,5.402,-13.689,-51.341,13.018
1667755025782,2022-11-06T19.17.05.782,5.443,-22.988,-54.116,29.665
1667755025823,2022-11-06T19.17.05.823,5.484,-24.360,-91.677,60.671
1667755025862,2022-11-06T19.17.05.862,5.523,-20.244,-110.091,63.506
1667755025903,2022-11-06T19.17.05.903,5.564,-16.189,-112.378,64.970
1667755025945,2022-11-06T19.17.05.945,5.606,-6.524,-88.262,60.762
1667755025986,2022-11-06T19.17.05.986,5.647,-2.835,-48.963,40.671
1667755026025,2022-11-06T19.17.06.025,5.686,-18.110,-37.622,19.146
1667755026066,2022-11-06T19.17.06.066,5.727,-11.402,-43.018,12.744
1667755026107,2022-11-06T19.17.06.107,5.768,-10.274,-36.402,11.250
1667755026148,2022-11-06T19.17.06.148,5.809,-8.110,-25.854,10.671
1667755026188,2022-11-06T19.17.06.188,5.849,-11.311,-26.128,15.152
1667755026229,2022-11-06T19.17.06.229,5.890,-4.329,-22.195,8.537
1667755026270,2022-11-06T19.17.06.270,5.931,1.067,-10.610,2.165
1667755026311,2022-11-06T19.17.06.311,5.972,2.104,-5.427,1.006
1667755026350,2022-11-06T19.17.06.350,6.011,5.518,0.579,-0.549
1667755026391,2022-11-06T19.17.06.391,6.052,29.817,22.805,-0.671
1667755026432,2022-11-06T19.17.06.432,6.093,15.030,25.091,5.274
1667755026472,2022-11-06T19.17.06.472,6.133,-4.177,8.049,-2.134
1667755026513,2022-11-06T19.17.06.513,6.174,2.896,12.683,-3.933
1667755026554,2022-11-06T19.17.06.554,6.215,6.006,13.506,-1.067
1667755026595,2022-11-06T19.17.06.595,6.256,-2.927,4.665,-0.335
