epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667892573430,2022-11-08T09:29:33.430,4.713,-0.102,0.300,-0.956
1667892573471,2022-11-08T09:29:33.471,4.754,-0.103,0.295,-0.957
1667892573510,2022-11-08T09:29:33.510,4.793,-0.103,0.294,-0.958
1667892573551,2022-11-08T09:29:33.551,4.834,-0.101,0.292,-0.958
1667892573592,2022-11-08T09:29:33.592,4.875,-0.102,0.295,-0.957
1667892573633,2022-11-08T09:29:33.633,4.916,-0.100,0.296,-0.959
1667892573673,2022-11-08T09:29:33.673,4.956,-0.103,0.292,-0.958
1667892573714,2022-11-08T09:29:33.714,4.997,-0.102,0.298,-0.956
1667892573755,2022-11-08T09:29:33.755,5.038,-0.100,0.296,-0.958
1667892573796,2022-11-08T09:29:33.796,5.079,-0.104,0.296,-0.956
1667892573836,2022-11-08T09:29:33.836,5.119,-0.100,0.298,-0.958
1667892573877,2022-11-08T09:29:33.877,5.160,-0.102,0.294,-0.958
1667892573918,2022-11-08T09:29:33.918,5.201,-0.104,0.294,-0.957
1667892573959,2022-11-08T09:29:33.959,5.242,-0.099,0.297,-0.959
1667892573998,2022-11-08T09:29:33.998,5.281,-0.099,0.296,-0.958
1667892574039,2022-11-08T09:29:34.039,5.322,-0.101,0.298,-0.957
1667892574080,2022-11-08T09:29:34.080,5.363,-0.100,0.296,-0.959
1667892574120,2022-11-08T09:29:34.120,5.403,-0.101,0.295,-0.959
1667892574161,2022-11-08T09:29:34.161,5.444,-0.101,0.296,-0.958
1667892574202,2022-11-08T09:29:34.202,5.485,-0.096,0.297,-0.958
1667892574243,2022-11-08T09:29:34.243,5.526,-0.096,0.299,-0.956
1667892574282,2022-11-08T09:29:34.282,5.565,-0.100,0.293,-0.956
1667892574323,2022-11-08T09:29:34.323,5.606,-0.096,0.295,-0.957
1667892574364,2022-11-08T09:29:34.364,5.647,-0.095,0.300,-0.957
1667892574405,2022-11-08T09:29:34.405,5.688,-0.096,0.297,-0.958
1667892574445,2022-11-08T09:29:34.445,5.728,-0.096,0.296,-0.956
1667892574486,2022-11-08T09:29:34.486,5.769,-0.095,0.294,-0.957
1667892574527,2022-11-08T09:29:34.527,5.810,-0.092,0.298,-0.958
1667892574567,2022-11-08T09:29:34.567,5.850,-0.091,0.307,-0.954
1667892574608,2022-11-08T09:29:34.608,5.891,-0.093,0.295,-0.956
1667892574649,2022-11-08T09:29:34.649,5.932,-0.090,0.303,-0.956
1667892574690,2022-11-08T09:29:34.690,5.973,-0.083,0.319,-0.954
1667892574729,2022-11-08T09:29:34.729,6.012,-0.086,0.313,-0.953
1667892574770,2022-11-08T09:29:34.770,6.053,-0.089,0.306,-0.953
