epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667737124903,2022-11-06T14.18.44.903,6.052,0.433,-0.101,-0.921
1667737124944,2022-11-06T14.18.44.944,6.093,0.431,-0.103,-0.921
1667737124984,2022-11-06T14.18.44.984,6.133,0.436,-0.101,-0.919
1667737125025,2022-11-06T14.18.45.025,6.174,0.434,-0.102,-0.922
1667737125066,2022-11-06T14.18.45.066,6.215,0.432,-0.103,-0.921
1667737125107,2022-11-06T14.18.45.107,6.256,0.433,-0.100,-0.922
1667737125147,2022-11-06T14.18.45.147,6.296,0.433,-0.101,-0.920
1667737125188,2022-11-06T14.18.45.188,6.337,0.433,-0.099,-0.922
1667737125229,2022-11-06T14.18.45.229,6.378,0.434,-0.099,-0.921
1667737125268,2022-11-06T14.18.45.268,6.417,0.433,-0.100,-0.921
1667737125309,2022-11-06T14.18.45.309,6.458,0.431,-0.105,-0.921
1667737125350,2022-11-06T14.18.45.350,6.499,0.433,-0.100,-0.921
1667737125391,2022-11-06T14.18.45.391,6.540,0.434,-0.107,-0.919
1667737125431,2022-11-06T14.18.45.431,6.580,0.432,-0.090,-0.923
1667737125472,2022-11-06T14.18.45.472,6.621,0.433,-0.105,-0.922
1667737125513,2022-11-06T14.18.45.513,6.662,0.430,-0.102,-0.923
1667737125554,2022-11-06T14.18.45.554,6.703,0.432,-0.108,-0.919
1667737125593,2022-11-06T14.18.45.593,6.742,0.421,-0.099,-0.927
1667737125634,2022-11-06T14.18.45.634,6.783,0.424,-0.083,-0.933
1667737125675,2022-11-06T14.18.45.675,6.824,0.439,-0.101,-0.917
1667737125716,2022-11-06T14.18.45.716,6.865,0.437,-0.090,-0.920
1667737125756,2022-11-06T14.18.45.756,6.905,0.447,-0.059,-0.922
1667737125797,2022-11-06T14.18.45.797,6.946,0.449,-0.096,-0.910
1667737125838,2022-11-06T14.18.45.838,6.987,0.429,-0.075,-0.923
1667737125878,2022-11-06T14.18.45.878,7.027,0.427,-0.057,-0.931
1667737125919,2022-11-06T14.18.45.919,7.068,0.435,-0.082,-0.916
1667737125960,2022-11-06T14.18.45.960,7.109,0.433,-0.076,-0.922
1667737126001,2022-11-06T14.18.46.001,7.150,0.435,-0.077,-0.918
