epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668365983324,2022-11-13T20:59:43.324,5.769,0.000,0.244,-0.122
1668365983363,2022-11-13T20:59:43.363,5.808,-0.518,0.305,-0.152
1668365983404,2022-11-13T20:59:43.404,5.849,-0.427,0.335,0.000
1668365983445,2022-11-13T20:59:43.445,5.890,-0.122,0.305,0.000
1668365983486,2022-11-13T20:59:43.486,5.931,-0.427,0.396,-0.061
1668365983526,2022-11-13T20:59:43.526,5.971,-0.122,0.488,-0.030
1668365983567,2022-11-13T20:59:43.567,6.012,-0.061,0.549,-0.091
1668365983608,2022-11-13T20:59:43.608,6.053,-0.152,0.610,-0.244
1668365983649,2022-11-13T20:59:43.649,6.094,-0.396,0.427,-0.152
1668365983689,2022-11-13T20:59:43.689,6.134,-0.213,0.305,-0.122
1668365983730,2022-11-13T20:59:43.730,6.175,-0.366,0.488,-0.122
1668365983771,2022-11-13T20:59:43.771,6.216,-0.427,0.488,-0.091
1668365983810,2022-11-13T20:59:43.810,6.255,-0.427,0.427,-0.030
1668365983851,2022-11-13T20:59:43.851,6.296,-0.457,0.640,0.000
1668365983892,2022-11-13T20:59:43.892,6.337,-0.366,0.518,0.000
1668365983933,2022-11-13T20:59:43.933,6.378,-0.427,0.488,-0.061
1668365983973,2022-11-13T20:59:43.973,6.418,-0.244,0.640,-0.061
1668365984014,2022-11-13T20:59:44.014,6.459,-0.793,0.671,0.030
1668365984055,2022-11-13T20:59:44.055,6.500,-0.610,0.640,-0.061
1668365984096,2022-11-13T20:59:44.096,6.541,-0.274,0.518,-0.030
1668365984135,2022-11-13T20:59:44.135,6.580,-0.610,0.610,-0.061
1668365984176,2022-11-13T20:59:44.176,6.621,-0.518,0.549,0.000
1668365984217,2022-11-13T20:59:44.217,6.662,-0.213,0.671,-0.061
1668365984258,2022-11-13T20:59:44.258,6.703,-0.610,0.732,-0.183
1668365984298,2022-11-13T20:59:44.298,6.743,-0.335,0.549,-0.091
1668365984339,2022-11-13T20:59:44.339,6.784,-0.396,0.640,-0.183
1668365984380,2022-11-13T20:59:44.380,6.825,-0.579,0.732,-0.061
1668365984420,2022-11-13T20:59:44.420,6.865,-0.152,0.488,-0.030
1668365984461,2022-11-13T20:59:44.461,6.906,-0.488,0.579,-0.152
1668365984502,2022-11-13T20:59:44.502,6.947,-0.610,0.671,-0.091
1668365984543,2022-11-13T20:59:44.543,6.988,-0.274,0.549,0.000
1668365984582,2022-11-13T20:59:44.582,7.027,-0.457,0.579,-0.061
1668365984623,2022-11-13T20:59:44.623,7.068,-0.396,0.640,-0.152
1668365984664,2022-11-13T20:59:44.664,7.109,-0.610,0.823,-0.061
1668365984705,2022-11-13T20:59:44.705,7.150,-0.366,0.671,-0.122
1668365984745,2022-11-13T20:59:44.745,7.190,-0.579,0.854,-0.152
1668365984786,2022-11-13T20:59:44.786,7.231,-0.366,0.823,-0.122
1668365984827,2022-11-13T20:59:44.827,7.272,-0.488,0.915,-0.152
1668365984866,2022-11-13T20:59:44.866,7.311,-0.335,0.976,-0.213
1668365984907,2022-11-13T20:59:44.907,7.352,-0.518,0.793,-0.122
1668365984948,2022-11-13T20:59:44.948,7.393,-0.518,0.671,-0.152
1668365984989,2022-11-13T20:59:44.989,7.434,-0.152,0.701,-0.213
1668365985029,2022-11-13T20:59:45.029,7.474,-0.488,0.854,-0.152
1668365985070,2022-11-13T20:59:45.070,7.515,-0.610,0.762,0.000
1668365985111,2022-11-13T20:59:45.111,7.556,-0.061,0.457,-0.091
1668365985152,2022-11-13T20:59:45.152,7.597,-0.427,0.579,-0.091
1668365985191,2022-11-13T20:59:45.191,7.636,-0.396,0.793,-0.061
1668365985232,2022-11-13T20:59:45.232,7.677,-0.213,0.823,-0.122
1668365985274,2022-11-13T20:59:45.274,7.719,-0.579,0.671,-0.061
1668365985315,2022-11-13T20:59:45.315,7.760,0.091,0.793,-0.244
1668365985354,2022-11-13T20:59:45.354,7.799,-0.213,0.793,-0.122
1668365985395,2022-11-13T20:59:45.395,7.840,0.000,0.762,-0.091
1668365985436,2022-11-13T20:59:45.436,7.881,-0.427,0.762,-0.061
1668365985476,2022-11-13T20:59:45.476,7.921,-0.671,0.488,0.000
1668365985517,2022-11-13T20:59:45.517,7.962,-0.671,0.457,0.030
1668365985558,2022-11-13T20:59:45.558,8.003,-0.701,0.457,0.091
1668365985599,2022-11-13T20:59:45.599,8.044,-0.518,0.305,0.091
1668365985638,2022-11-13T20:59:45.638,8.083,-0.488,0.396,0.000
1668365985679,2022-11-13T20:59:45.679,8.124,-0.579,0.488,-0.030
1668365985720,2022-11-13T20:59:45.720,8.165,-0.579,0.579,-0.091
1668365985761,2022-11-13T20:59:45.761,8.206,-0.396,0.793,-0.122
1668365985801,2022-11-13T20:59:45.801,8.246,-0.945,0.854,-0.061
1668365985842,2022-11-13T20:59:45.842,8.287,-0.823,0.610,-0.091
1668365985883,2022-11-13T20:59:45.883,8.328,-0.213,0.518,-0.091
1668365985924,2022-11-13T20:59:45.924,8.369,-0.457,0.579,-0.061
1668365985963,2022-11-13T20:59:45.963,8.408,-0.671,0.488,0.061
1668365986004,2022-11-13T20:59:46.004,8.449,-0.488,0.396,-0.061
1668365986045,2022-11-13T20:59:46.045,8.490,-0.579,0.396,-0.061
1668365986085,2022-11-13T20:59:46.085,8.530,-0.549,0.457,-0.030
1668365986126,2022-11-13T20:59:46.126,8.571,-0.427,0.518,-0.091
1668365986167,2022-11-13T20:59:46.167,8.612,-0.610,0.549,-0.152
1668365986208,2022-11-13T20:59:46.208,8.653,-0.671,0.427,-0.091
1668365986248,2022-11-13T20:59:46.248,8.693,-0.579,0.427,-0.091
1668365986289,2022-11-13T20:59:46.289,8.734,-0.701,0.396,-0.061
1668365986330,2022-11-13T20:59:46.330,8.775,-0.457,0.427,-0.061
1668365986371,2022-11-13T20:59:46.371,8.816,-0.457,0.427,-0.030
1668365986410,2022-11-13T20:59:46.410,8.855,-0.793,0.427,-0.030
1668365986451,2022-11-13T20:59:46.451,8.896,-0.701,0.579,-0.122
1668365986492,2022-11-13T20:59:46.492,8.937,-0.396,0.305,-0.061
1668365986532,2022-11-13T20:59:46.532,8.977,-0.640,0.305,-0.061
1668365986573,2022-11-13T20:59:46.573,9.018,-0.549,0.488,-0.152
