epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668070208137,2022-11-10T10.50.08.137,5.552,0.183,0.183,0.091
1668070208178,2022-11-10T10.50.08.178,5.593,-0.061,0.152,0.091
1668070208218,2022-11-10T10.50.08.218,5.633,-0.061,-0.061,0.366
1668070208259,2022-11-10T10.50.08.259,5.674,0.030,-0.183,0.549
1668070208298,2022-11-10T10.50.08.298,5.713,-0.366,0.061,0.274
1668070208338,2022-11-10T10.50.08.338,5.753,-0.488,0.213,0.000
1668070208379,2022-11-10T10.50.08.379,5.794,0.000,0.152,0.000
1668070208418,2022-11-10T10.50.08.418,5.833,0.213,0.183,-0.152
1668070208459,2022-11-10T10.50.08.459,5.874,0.091,0.244,-0.274
1668070208499,2022-11-10T10.50.08.499,5.914,-0.061,0.244,-0.152
1668070208540,2022-11-10T10.50.08.540,5.955,0.122,0.183,0.061
1668070208579,2022-11-10T10.50.08.579,5.994,0.305,0.061,0.091
1668070208620,2022-11-10T10.50.08.620,6.035,0.335,0.091,0.183
1668070208660,2022-11-10T10.50.08.660,6.075,0.396,0.152,0.091
1668070208701,2022-11-10T10.50.08.701,6.116,0.244,0.152,0.152
1668070208740,2022-11-10T10.50.08.740,6.155,0.396,0.030,0.518
1668070208781,2022-11-10T10.50.08.781,6.196,0.457,-0.030,0.640
1668070208821,2022-11-10T10.50.08.821,6.236,0.213,0.061,0.488
1668070208861,2022-11-10T10.50.08.861,6.276,-0.213,0.122,0.305
1668070208902,2022-11-10T10.50.08.902,6.317,-0.427,0.122,0.427
1668070208941,2022-11-10T10.50.08.941,6.356,-0.183,0.000,0.396
1668070208982,2022-11-10T10.50.08.982,6.397,-0.213,0.030,0.152
1668070209022,2022-11-10T10.50.09.022,6.437,-0.274,0.366,0.152
1668070209063,2022-11-10T10.50.09.063,6.478,-0.061,0.427,0.396
1668070209102,2022-11-10T10.50.09.102,6.517,-0.091,0.274,0.213
1668070209143,2022-11-10T10.50.09.143,6.558,-0.396,0.244,-0.183
1668070209183,2022-11-10T10.50.09.183,6.598,-0.457,0.213,-0.305
1668070209224,2022-11-10T10.50.09.224,6.639,-0.274,0.183,-0.152
1668070209263,2022-11-10T10.50.09.263,6.678,0.000,0.152,-0.030
1668070209304,2022-11-10T10.50.09.304,6.719,0.091,0.091,-0.061
1668070209344,2022-11-10T10.50.09.344,6.759,-0.152,0.183,-0.183
1668070209384,2022-11-10T10.50.09.384,6.799,-0.213,0.183,0.061
1668070209425,2022-11-10T10.50.09.425,6.840,0.091,0.152,0.152
1668070209464,2022-11-10T10.50.09.464,6.879,0.183,0.122,-0.274
1668070209505,2022-11-10T10.50.09.505,6.920,0.091,0.274,-0.488
1668070209545,2022-11-10T10.50.09.545,6.960,0.518,0.305,-0.305
1668070209586,2022-11-10T10.50.09.586,7.001,-0.152,0.305,0.122
1668070209625,2022-11-10T10.50.09.625,7.040,-0.488,0.213,0.091
1668070209666,2022-11-10T10.50.09.666,7.081,-0.244,0.000,0.122
1668070209706,2022-11-10T10.50.09.706,7.121,0.122,0.091,0.244
1668070209747,2022-11-10T10.50.09.747,7.162,-0.427,1.250,-0.091
1668070209786,2022-11-10T10.50.09.786,7.201,-2.957,1.280,-0.366
1668070209827,2022-11-10T10.50.09.827,7.242,-2.409,0.305,-0.122
1668070209867,2022-11-10T10.50.09.867,7.282,-0.396,-0.152,0.152
1668070209906,2022-11-10T10.50.09.906,7.321,-0.457,-0.366,0.122
1668070209948,2022-11-10T10.50.09.948,7.363,-0.335,-0.305,-0.061
1668070209987,2022-11-10T10.50.09.987,7.402,-0.213,-0.152,-0.061
1668070210028,2022-11-10T10.50.10.028,7.443,-0.152,-0.030,0.061
1668070210068,2022-11-10T10.50.10.068,7.483,-0.122,0.152,0.030
1668070210109,2022-11-10T10.50.10.109,7.524,0.335,0.244,-0.122
1668070210148,2022-11-10T10.50.10.148,7.563,0.335,0.122,0.061
1668070210189,2022-11-10T10.50.10.189,7.604,0.671,0.122,-0.061
1668070210229,2022-11-10T10.50.10.229,7.644,-0.152,0.793,-0.244
1668070210270,2022-11-10T10.50.10.270,7.685,-1.067,0.823,0.030
1668070210309,2022-11-10T10.50.10.309,7.724,-0.732,0.274,0.610
1668070210350,2022-11-10T10.50.10.350,7.765,-1.250,0.213,0.518
1668070210390,2022-11-10T10.50.10.390,7.805,-4.665,0.244,1.280
1668070210431,2022-11-10T10.50.10.431,7.846,-2.652,0.091,0.762
1668070210470,2022-11-10T10.50.10.470,7.885,0.823,-0.091,0.305
1668070210510,2022-11-10T10.50.10.510,7.925,2.134,0.152,-0.152
1668070210551,2022-11-10T10.50.10.551,7.966,1.951,0.061,-0.518
1668070210591,2022-11-10T10.50.10.591,8.006,1.128,-0.305,0.061
1668070210632,2022-11-10T10.50.10.632,8.047,1.037,-0.274,0.366
1668070210671,2022-11-10T10.50.10.671,8.086,0.274,-0.091,0.091
1668070210712,2022-11-10T10.50.10.712,8.127,-0.091,-0.030,-0.091
1668070210752,2022-11-10T10.50.10.752,8.167,0.213,0.000,0.000
1668070210793,2022-11-10T10.50.10.793,8.208,0.305,0.030,0.183
1668070210832,2022-11-10T10.50.10.832,8.247,0.152,0.091,0.122
1668070210873,2022-11-10T10.50.10.873,8.288,-0.274,0.183,0.030
1668070210913,2022-11-10T10.50.10.913,8.328,-0.427,0.152,0.061
1668070210954,2022-11-10T10.50.10.954,8.369,-1.707,0.335,-0.366
1668070210993,2022-11-10T10.50.10.993,8.408,-0.518,0.213,0.000
1668070211033,2022-11-10T10.50.11.033,8.448,0.000,0.152,0.030
1668070211074,2022-11-10T10.50.11.074,8.489,-0.122,0.152,-0.030
1668070211114,2022-11-10T10.50.11.114,8.529,-0.244,0.305,-0.122
1668070211155,2022-11-10T10.50.11.155,8.570,-0.030,0.213,0.061
1668070211194,2022-11-10T10.50.11.194,8.609,-0.274,-0.213,0.335
1668070211235,2022-11-10T10.50.11.235,8.650,-0.579,0.061,-0.244
1668070211275,2022-11-10T10.50.11.275,8.690,-0.488,0.122,-0.366
1668070211316,2022-11-10T10.50.11.316,8.731,-0.762,0.061,-0.183
1668070211355,2022-11-10T10.50.11.355,8.770,-0.427,0.061,0.061
1668070211396,2022-11-10T10.50.11.396,8.811,-0.122,-0.061,0.152
1668070211436,2022-11-10T10.50.11.436,8.851,-0.488,0.122,-0.213
1668070211477,2022-11-10T10.50.11.477,8.892,-0.549,-0.030,-0.183
1668070211516,2022-11-10T10.50.11.516,8.931,-0.518,-0.030,0.061
1668070211556,2022-11-10T10.50.11.556,8.971,0.396,0.518,0.366
1668070211597,2022-11-10T10.50.11.597,9.012,0.701,0.488,0.030
1668070211636,2022-11-10T10.50.11.636,9.051,0.152,0.640,-0.518
1668070211677,2022-11-10T10.50.11.677,9.092,0.152,0.793,-0.335
1668070211717,2022-11-10T10.50.11.717,9.132,0.305,0.640,-0.061
1668070211758,2022-11-10T10.50.11.758,9.173,-0.823,1.463,-0.122
1668070211798,2022-11-10T10.50.11.798,9.213,-0.122,2.927,-0.396
1668070211839,2022-11-10T10.50.11.839,9.254,2.835,1.799,0.305
1668070211878,2022-11-10T10.50.11.878,9.293,4.268,0.579,1.433
1668070211919,2022-11-10T10.50.11.919,9.334,1.951,-0.213,1.189
1668070211959,2022-11-10T10.50.11.959,9.374,-0.823,-0.915,0.366
1668070212000,2022-11-10T10.50.12.000,9.415,0.091,-0.823,-0.061
1668070212039,2022-11-10T10.50.12.039,9.454,1.128,-0.518,-0.152
1668070212079,2022-11-10T10.50.12.079,9.494,0.610,-0.305,-0.030
1668070212120,2022-11-10T10.50.12.120,9.535,0.122,-0.366,0.152
1668070212159,2022-11-10T10.50.12.159,9.574,0.640,-0.213,0.061
1668070212200,2022-11-10T10.50.12.200,9.615,1.098,0.030,-0.030
1668070212240,2022-11-10T10.50.12.240,9.655,0.549,0.152,-0.030
1668070212281,2022-11-10T10.50.12.281,9.696,-0.183,0.091,0.122
1668070212321,2022-11-10T10.50.12.321,9.736,-0.366,0.061,0.213
1668070212362,2022-11-10T10.50.12.362,9.777,0.091,0.061,-0.091
1668070212401,2022-11-10T10.50.12.401,9.816,0.122,0.244,-0.183
1668070212442,2022-11-10T10.50.12.442,9.857,0.152,0.274,-0.030
1668070212482,2022-11-10T10.50.12.482,9.897,0.152,0.213,0.152
1668070212523,2022-11-10T10.50.12.523,9.938,0.213,0.213,0.030
1668070212562,2022-11-10T10.50.12.562,9.977,0.213,0.122,0.061
1668070212603,2022-11-10T10.50.12.603,10.018,0.000,0.122,0.091
1668070212643,2022-11-10T10.50.12.643,10.058,-0.457,0.183,0.335
1668070212682,2022-11-10T10.50.12.682,10.097,-0.854,0.213,0.671
1668070212723,2022-11-10T10.50.12.723,10.138,-1.098,0.091,0.549
1668070212763,2022-11-10T10.50.12.763,10.178,-0.945,-0.030,0.396
1668070212804,2022-11-10T10.50.12.804,10.219,0.061,-0.091,0.305
1668070212844,2022-11-10T10.50.12.844,10.259,0.427,0.061,-0.091
1668070212885,2022-11-10T10.50.12.885,10.300,0.823,0.183,-0.183
1668070212924,2022-11-10T10.50.12.924,10.339,1.159,0.183,-0.091
1668070212965,2022-11-10T10.50.12.965,10.380,0.976,0.091,-0.274
1668070213005,2022-11-10T10.50.13.005,10.420,0.579,0.000,-0.244
1668070213046,2022-11-10T10.50.13.046,10.461,0.579,-0.030,0.152
1668070213085,2022-11-10T10.50.13.085,10.500,0.366,0.030,0.366
1668070213126,2022-11-10T10.50.13.126,10.541,0.183,0.122,0.122
1668070213166,2022-11-10T10.50.13.166,10.581,-0.183,0.152,-0.152
1668070213205,2022-11-10T10.50.13.205,10.620,-0.854,-0.152,-0.122
1668070213246,2022-11-10T10.50.13.246,10.661,-0.732,-0.152,0.091
1668070213286,2022-11-10T10.50.13.286,10.701,-0.762,-0.335,-0.122
1668070213327,2022-11-10T10.50.13.327,10.742,-2.256,-1.402,-0.030
1668070213366,2022-11-10T10.50.13.366,10.781,-0.061,-1.372,0.122
1668070213407,2022-11-10T10.50.13.407,10.822,0.945,0.000,-0.793
1668070213447,2022-11-10T10.50.13.447,10.862,-0.213,0.152,-1.463
1668070213488,2022-11-10T10.50.13.488,10.903,0.518,0.305,-0.823
1668070213528,2022-11-10T10.50.13.528,10.943,0.305,-0.152,0.366
1668070213569,2022-11-10T10.50.13.569,10.984,-1.250,-0.579,-0.030
1668070213608,2022-11-10T10.50.13.608,11.023,-2.622,-0.549,-0.457
1668070213649,2022-11-10T10.50.13.649,11.064,-1.860,-0.762,-0.488
1668070213689,2022-11-10T10.50.13.689,11.104,-2.073,-0.823,-0.732
1668070213728,2022-11-10T10.50.13.728,11.143,-2.195,-0.457,-0.976
1668070213769,2022-11-10T10.50.13.769,11.184,-1.402,-0.488,-0.244
1668070213809,2022-11-10T10.50.13.809,11.224,-0.366,-0.152,0.091
1668070213850,2022-11-10T10.50.13.850,11.265,-2.652,0.000,0.305
1668070213889,2022-11-10T10.50.13.889,11.304,-2.591,0.213,-0.427
1668070213930,2022-11-10T10.50.13.930,11.345,-1.951,1.220,-0.518
1668070213970,2022-11-10T10.50.13.970,11.385,-0.945,1.280,-0.091
1668070214011,2022-11-10T10.50.14.011,11.426,-0.549,0.213,0.518
1668070214051,2022-11-10T10.50.14.051,11.466,-0.762,-0.122,0.610
1668070214092,2022-11-10T10.50.14.092,11.507,-0.183,0.122,0.579
1668070214131,2022-11-10T10.50.14.131,11.546,-0.671,0.000,-0.427
1668070214172,2022-11-10T10.50.14.172,11.587,-1.433,0.091,-0.518
1668070214212,2022-11-10T10.50.14.212,11.627,-0.396,0.488,-0.213
1668070214251,2022-11-10T10.50.14.251,11.666,0.030,0.671,-0.854
1668070214292,2022-11-10T10.50.14.292,11.707,2.165,0.915,-1.372
1668070214332,2022-11-10T10.50.14.332,11.747,1.006,1.006,-0.915
1668070214373,2022-11-10T10.50.14.373,11.788,-1.037,-0.122,1.372
1668070214412,2022-11-10T10.50.14.412,11.827,0.244,-0.488,1.585
1668070214453,2022-11-10T10.50.14.453,11.868,-0.549,0.244,0.061
1668070214493,2022-11-10T10.50.14.493,11.908,0.213,0.183,-0.183
1668070214534,2022-11-10T10.50.14.534,11.949,0.183,0.061,-0.091
1668070214573,2022-11-10T10.50.14.573,11.988,-0.122,-0.183,-0.152
1668070214615,2022-11-10T10.50.14.615,12.030,-0.701,-0.122,-0.061
1668070214654,2022-11-10T10.50.14.654,12.069,-0.518,-0.640,0.610
1668070214695,2022-11-10T10.50.14.695,12.110,-0.396,-0.518,0.915
1668070214735,2022-11-10T10.50.14.735,12.150,-0.366,-0.366,0.335
1668070214774,2022-11-10T10.50.14.774,12.189,0.030,0.366,-0.244
1668070214815,2022-11-10T10.50.14.815,12.230,0.335,0.396,-0.244
1668070214855,2022-11-10T10.50.14.855,12.270,0.030,0.061,0.152
1668070214896,2022-11-10T10.50.14.896,12.311,0.122,-0.030,0.396
1668070214935,2022-11-10T10.50.14.935,12.350,-0.122,-0.030,0.518
1668070214976,2022-11-10T10.50.14.976,12.391,-0.732,0.091,0.122
1668070215016,2022-11-10T10.50.15.016,12.431,-0.732,0.244,-0.213
1668070215057,2022-11-10T10.50.15.057,12.472,0.122,0.183,-0.396
1668070215096,2022-11-10T10.50.15.096,12.511,0.244,0.061,-0.091
1668070215137,2022-11-10T10.50.15.137,12.552,0.000,0.122,0.091
1668070215177,2022-11-10T10.50.15.177,12.592,0.183,0.091,0.274
1668070215218,2022-11-10T10.50.15.218,12.633,0.213,0.000,0.488
1668070215258,2022-11-10T10.50.15.258,12.673,0.030,-0.030,0.518
1668070215297,2022-11-10T10.50.15.297,12.712,-0.335,-0.030,0.518
1668070215338,2022-11-10T10.50.15.338,12.753,-0.305,0.000,0.732
1668070215378,2022-11-10T10.50.15.378,12.793,-0.122,-0.061,0.732
1668070215419,2022-11-10T10.50.15.419,12.834,-0.183,-0.152,0.610
1668070215458,2022-11-10T10.50.15.458,12.873,-0.183,-0.030,0.457
1668070215499,2022-11-10T10.50.15.499,12.914,-0.579,-0.244,0.701
1668070215539,2022-11-10T10.50.15.539,12.954,-0.305,-0.152,0.732
1668070215580,2022-11-10T10.50.15.580,12.995,-0.183,0.030,0.274
1668070215619,2022-11-10T10.50.15.619,13.034,-0.396,0.091,0.183
1668070215660,2022-11-10T10.50.15.660,13.075,-0.091,0.030,0.213
1668070215700,2022-11-10T10.50.15.700,13.115,-0.152,0.183,-0.091
1668070215741,2022-11-10T10.50.15.741,13.156,-0.152,0.274,-0.152
1668070215781,2022-11-10T10.50.15.781,13.196,-0.122,0.244,-0.213
1668070215820,2022-11-10T10.50.15.820,13.235,-0.122,0.183,-0.213
1668070215861,2022-11-10T10.50.15.861,13.276,0.122,0.091,-0.061
1668070215901,2022-11-10T10.50.15.901,13.316,0.122,0.122,-0.183
1668070215942,2022-11-10T10.50.15.942,13.357,0.000,0.183,-0.152
1668070215981,2022-11-10T10.50.15.981,13.396,-0.030,0.213,-0.152
1668070216022,2022-11-10T10.50.16.022,13.437,-0.183,0.152,0.000
1668070216062,2022-11-10T10.50.16.062,13.477,0.030,0.213,-0.122
